ID	Prec-100	Rec-100
AE017198.fasta	0.999548193	0.999197069
AJ270060.fasta	0.99906442	0.998041089
AM055943.fasta	0.999677051	0.999478416
AM263198.fasta	0.999733414	0.999449212
AM269894.fasta	0.999034964	0.998590191
BA000004.fasta	0.998107774	0.997882137
BN001302.fasta	0.999950121	0.999588647
BX284601.fasta	0.998766942	0.996875093
CAID01000012.fasta	0.999904132	0.999808282
CM000001.fasta	0.997042351	0.992121296
CM000038.fasta	0.999383688	0.996750932
CM000043.fasta	0.999972006	0.99983206
CM000071.fasta	0.999769813	0.998696166
CM000091.fasta	0.995891111	0.992492027
CM000110.fasta	0.988578131	0.987789552
CM000134.fasta	0.999183553	0.997635052
CM000152.fasta	0.996478595	0.992622654
CM000157.fasta	0.999150165	0.997986513
CM000158.fasta	0.999294369	0.998190565
CM000169.fasta	0.999979664	0.999634072
CM000177.fasta	0.989627629	0.981622187
CM000201.fasta	0.996414173	0.991562277
CM000208.fasta	0.99872918	0.998347332
CM000209.fasta	0.993882512	0.987978289
CM000302.fasta	0.996895053	0.989406329
CM000377.fasta	0.999150609	0.994091362
CM000452.fasta	0.999975809	0.999758144
CM000515.fasta	0.999278584	0.996088949
CM000530.fasta	0.999306531	0.998210748
CM000572.fasta	0.998786527	0.993133207
CM000575.fasta	1	0.999478384
CM000580.fasta	1	0.999720042
CM000592.fasta	0.999952022	0.999558774
CM000612.fasta	0.999052605	0.999002792
CM000638.fasta	0.999934245	0.9996056
CM000692.fasta	1	0.999747347
CM000767.fasta	0.989277962	0.983709954
CM000769.fasta	0.988904452	0.983533571
CM000777.fasta	0.961202368	0.948440896
CM000799.fasta	0.997256264	0.992396439
CM000829.fasta	0.997695707	0.992611081
CM000831.fasta	0.998884195	0.998366989
CM000850.fasta	0.996380568	0.992908064
CM000875.fasta	0.999149598	0.994081864
CM000906.fasta	0.999991937	0.998658883
CM000907.fasta	0.999981249	0.998358568
CM000917.fasta	0.999775977	0.998627814
CM001221.fasta	0.9969596	0.994166121
CM001222.fasta	0.994491058	0.992474922
CM001276.fasta	0.997803781	0.99110855
CM001294.fasta	0.997772005	0.990709725
CP000048.fasta	1	0.999728939
CP000496.fasta	0.999835766	0.999470996
CP000828.fasta	0.997431105	0.996994019
CP001037.fasta	0.99740558	0.996787827
CP001141.fasta	1	0.999841278
CP001681.fasta	0.998480243	0.998074467
CP001699.fasta	0.999901342	0.999364547
CP001982.fasta	0.999784085	0.999225103
CP002287.fasta	1	0.998880666
CP002987.fasta	0.999901065	0.999468453
CP003170.fasta	0.999918702	0.998344129
CP003348.fasta	0.99976854	0.999456239
CP003872.fasta	0.998661737	0.997960342
CR380954.fasta	1	0.999809587
CU234118.fasta	0.999939585	0.998846659
CU329672.fasta	0.998695209	0.998532349
CU928173.fasta	0.999910266	0.999686
DG000010.fasta	0.999330755	0.997630596
FA000001.fasta	0.977722278	0.973922908
FM178379.fasta	0.97053734	0.969866021
FN543502.fasta	0.996444578	0.995941384
FN554974.fasta	0.999006612	0.998642863
FO082874.fasta	0.99984582	0.999467578
FP929060.fasta	1	0.999839169
FR798980.fasta	0.990932137	0.990642363
GCA_000002035.2.fasta	0.994552253	0.989975708
GCA_000151905.1.fasta	0.99437493	0.987177744
HE601630.fasta	0.998970913	0.996284722
HE616744.fasta	0.999961299	0.999883905
HE616749.fasta	1	0.999760177
HE806319.fasta	1	0.999620467
HE978314.fasta	1	0.999961264
NC_003070.9.fasta	0.99909628	0.99734945
NC_007605.fasta	0.998253783	0.998253783
NC_008394.4.fasta	0.997423042	0.995018279
NC_008397.2.fasta	0.996045109	0.993521755
NC_008398.2.fasta	0.996235904	0.994004632
NC_008399.2.fasta	0.995878375	0.993701783
NC_008400.2.fasta	0.996711953	0.994500535
NC_008401.2.fasta	0.996722061	0.994651661
NC_008403.2.fasta	0.99804545	0.996231539
NC_008467.1.fasta	0.99916694	0.996619097
NT_024477.14.fasta	0.999516394	0.998550585
NT_024498.12.fasta	0.99905367	0.998783619
NT_029928.13.fasta	0.999436129	0.995964446
NT_077528.2.fasta	0.993294064	0.984550436
NT_078094.2.fasta	0.993193355	0.99107811
NT_167185.1.fasta	0.992905895	0.991188705
NT_167196.1.fasta	0.998800879	0.994230769
