ID	Prec-100	Rec-100
AE017198.fasta	0.999596459	0.99445476
AJ270060.fasta	0.99915427	0.994161203
AM055943.fasta	0.999675446	0.994535791
AM263198.fasta	0.999660739	0.994705328
AM269894.fasta	0.998843844	0.993618758
BA000004.fasta	0.998122144	0.992884933
BN001302.fasta	0.999949907	0.995313065
BX284601.fasta	0.998699454	0.993481484
CAID01000012.fasta	0.999807489	0.99568635
CM000001.fasta	0.998073375	0.99298045
CM000038.fasta	0.999646973	0.994616248
CM000043.fasta	0.999971853	0.994401993
CM000071.fasta	0.999776545	0.994873104
CM000091.fasta	0.996409848	0.991215032
CM000110.fasta	0.989459993	0.983119279
CM000134.fasta	0.999169276	0.994323664
CM000152.fasta	0.997169625	0.991985591
CM000157.fasta	0.999338152	0.9942395
CM000158.fasta	0.99937961	0.994460528
CM000169.fasta	0.999938712	0.995049807
CM000177.fasta	0.995209906	0.989731048
CM000201.fasta	0.99760342	0.992451533
CM000208.fasta	0.999007912	0.99354966
CM000209.fasta	0.995924171	0.990675424
CM000302.fasta	0.99889378	0.993841199
CM000377.fasta	0.99945433	0.994464806
CM000452.fasta	1	0.994896849
CM000515.fasta	0.999368407	0.994368981
CM000530.fasta	0.999374846	0.994275574
CM000572.fasta	0.999621022	0.994749176
CM000575.fasta	1	0.994918448
CM000580.fasta	1	0.994928449
CM000592.fasta	0.999942163	0.994993046
CM000612.fasta	0.999247555	0.993218987
CM000638.fasta	0.999917429	0.995020706
CM000692.fasta	1	0.996029741
CM000767.fasta	0.991010447	0.985419287
CM000769.fasta	0.990513135	0.984820844
CM000777.fasta	0.970067144	0.962604796
CM000799.fasta	0.998331976	0.993212111
CM000829.fasta	0.998286796	0.993218725
CM000831.fasta	0.998759256	0.993906082
CM000850.fasta	0.996796917	0.991741187
CM000875.fasta	0.999677453	0.994666496
CM000906.fasta	0.999991009	0.995028294
CM000907.fasta	0.999972155	0.994991085
CM000917.fasta	0.999775075	0.994622214
CM001221.fasta	0.997075055	0.991947042
CM001222.fasta	0.994611038	0.989326587
CM001276.fasta	0.998648985	0.993603641
CM001294.fasta	0.998821465	0.993845241
CP000048.fasta	1	0.995229318
CP000496.fasta	0.999890011	0.994983583
CP000828.fasta	0.997456671	0.991966112
CP001037.fasta	0.997186331	0.992081901
CP001141.fasta	1	0.994550553
CP001681.fasta	0.998482815	0.993400937
CP001699.fasta	0.999845842	0.994834207
CP001982.fasta	0.999743658	0.994624763
CP002287.fasta	1	0.994745548
CP002987.fasta	0.999888179	0.99482051
CP003170.fasta	0.999896664	0.994864635
CP003348.fasta	0.999732589	0.994816914
CP003872.fasta	0.998868614	0.993813679
CR380954.fasta	1	0.995858523
CU234118.fasta	0.999912369	0.994662447
CU329672.fasta	0.998709545	0.993864405
CU928173.fasta	0.999909849	0.995065716
DG000010.fasta	0.999414724	0.994352129
FA000001.fasta	0.982324813	0.976137048
FM178379.fasta	0.972754686	0.965294799
FN543502.fasta	0.996436496	0.991059823
FN554974.fasta	0.99897949	0.99367773
FO082874.fasta	0.999887316	0.994605728
FP929060.fasta	1	0.995110732
FR798980.fasta	0.99167075	0.986450921
GCA_000002035.2.fasta	0.995505727	0.990285575
GCA_000151905.1.fasta	0.99645207	0.990914011
HE601630.fasta	0.998937569	0.993934449
HE616744.fasta	0.999883323	0.994891839
HE616749.fasta	1	0.994843816
HE806319.fasta	1	0.995238588
HE978314.fasta	0.999961056	0.994615742
NC_003070.9.fasta	0.9992304	0.99423222
NC_007605.fasta	0.998534584	0.991559953
NC_008394.4.fasta	0.997647229	0.992688299
NC_008397.2.fasta	0.996301744	0.990993375
NC_008398.2.fasta	0.996532445	0.991213953
NC_008399.2.fasta	0.996077548	0.990832669
NC_008400.2.fasta	0.996941993	0.991855955
NC_008401.2.fasta	0.997043111	0.991847533
NC_008403.2.fasta	0.998125375	0.993136369
NC_008467.1.fasta	0.999229331	0.994216913
NT_024477.14.fasta	0.999757352	0.995313557
NT_024498.12.fasta	0.999049817	0.994729017
NT_029928.13.fasta	0.999692047	0.994968329
NT_077528.2.fasta	0.993229825	0.988323004
NT_078094.2.fasta	0.993694319	0.988718126
NT_167185.1.fasta	0.993510192	0.988281425
NT_167196.1.fasta	0.998733755	0.993766578
