ID	Prec-100	Rec-100
AE017198.fasta	0.999620541	0.991493953
AJ270060.fasta	0.999030624	0.991647037
AM055943.fasta	0.999749737	0.992201083
AM263198.fasta	0.999677702	0.991969156
AM269894.fasta	0.999102904	0.991652445
BA000004.fasta	0.998237875	0.990814663
BN001302.fasta	0.99997489	0.992807549
BX284601.fasta	0.998419012	0.990903934
CAID01000012.fasta	0.999903484	0.99309816
CM000001.fasta	0.995764672	0.98764864
CM000038.fasta	0.998961235	0.991256369
CM000043.fasta	1	0.99227475
CM000071.fasta	0.999714907	0.992384196
CM000091.fasta	0.99480529	0.987143527
CM000110.fasta	0.988320788	0.981234236
CM000134.fasta	0.998995725	0.991859697
CM000152.fasta	0.995911141	0.986558759
CM000157.fasta	0.998842431	0.991417482
CM000158.fasta	0.998944492	0.991664774
CM000169.fasta	0.999969285	0.992762757
CM000177.fasta	0.984172155	0.976598286
CM000201.fasta	0.994302079	0.986881207
CM000208.fasta	0.998881154	0.990984324
CM000209.fasta	0.991831886	0.984191072
CM000302.fasta	0.994523695	0.986022575
CM000377.fasta	0.998510623	0.990995926
CM000452.fasta	0.999975626	0.992260624
CM000515.fasta	0.999099234	0.991758239
CM000530.fasta	0.999284168	0.991693392
CM000572.fasta	0.997553995	0.989437108
CM000575.fasta	1	0.992562762
CM000580.fasta	0.999989154	0.992807227
CM000592.fasta	0.999951688	0.992662222
CM000612.fasta	0.999447208	0.991623454
CM000638.fasta	0.999950371	0.993311641
CM000692.fasta	1	0.993467119
CM000767.fasta	0.984917553	0.97823396
CM000769.fasta	0.984089637	0.977354663
CM000777.fasta	0.946015126	0.939928818
CM000799.fasta	0.9956836	0.987872222
CM000829.fasta	0.996642334	0.988853325
CM000831.fasta	0.999117777	0.99235273
CM000850.fasta	0.995305463	0.988056817
CM000875.fasta	0.998388237	0.990507867
CM000906.fasta	0.999996395	0.992756716
CM000907.fasta	0.999978125	0.992702665
CM000917.fasta	0.999796853	0.992055376
CM001221.fasta	0.996669502	0.989438263
CM001222.fasta	0.994241747	0.987088821
CM001276.fasta	0.996991836	0.988666625
CM001294.fasta	0.996666767	0.987867184
CP000048.fasta	1	0.992572916
CP000496.fasta	0.999853055	0.992958774
CP000828.fasta	0.997436473	0.99011332
CP001037.fasta	0.997149777	0.9899445
CP001141.fasta	1	0.992434263
CP001681.fasta	0.998499376	0.991504432
CP001699.fasta	0.999873092	0.992675859
CP001982.fasta	0.99970351	0.992201983
CP002287.fasta	1	0.992663729
CP002987.fasta	0.999850581	0.992620154
CP003170.fasta	0.999934575	0.992461999
CP003348.fasta	0.999801738	0.991820443
CP003872.fasta	0.998759065	0.991158276
CR380954.fasta	1	0.993335555
CU234118.fasta	0.999905414	0.992409409
CU329672.fasta	0.998480056	0.99090872
CU928173.fasta	0.999909654	0.992912573
DG000010.fasta	0.99917437	0.991896929
FA000001.fasta	0.970776667	0.96427523
FM178379.fasta	0.969784674	0.962347563
FN543502.fasta	0.996136486	0.988572284
FN554974.fasta	0.99886615	0.991448936
FO082874.fasta	0.999915302	0.99246203
FP929060.fasta	1	0.992296187
FR798980.fasta	0.99154625	0.983234233
GCA_000002035.2.fasta	0.993669856	0.98595986
GCA_000151905.1.fasta	0.993500818	0.984802655
HE601630.fasta	0.998655956	0.991353254
HE616744.fasta	0.999922009	0.99229906
HE616749.fasta	1	0.992325679
HE806319.fasta	1	0.992685367
HE978314.fasta	1	0.992291602
NC_003070.9.fasta	0.998930695	0.991672048
NC_007605.fasta	0.998826635	0.990977881
NC_008394.4.fasta	0.997065099	0.989823532
NC_008397.2.fasta	0.995103678	0.987792536
NC_008398.2.fasta	0.995570316	0.988205374
NC_008399.2.fasta	0.995319155	0.987963555
NC_008400.2.fasta	0.996213231	0.98895901
NC_008401.2.fasta	0.996278761	0.988920844
NC_008403.2.fasta	0.997740519	0.99062453
NC_008467.1.fasta	0.999136026	0.991562381
NT_024477.14.fasta	0.999172991	0.992318098
NT_024498.12.fasta	0.999048266	0.993107177
NT_029928.13.fasta	0.998828799	0.991098794
NT_077528.2.fasta	0.992128122	0.984909728
NT_078094.2.fasta	0.99333256	0.98618546
NT_167185.1.fasta	0.993071732	0.985165417
NT_167196.1.fasta	0.997863248	0.990981432
