ID	Prec-100	Rec-100
AE017198.fasta	0.999698901	0.999698901
AJ270060.fasta	0.9990722762	0.9990722762
AM055943.fasta	0.9998013015	0.9998013015
AM263198.fasta	0.999751257	0.999751257
AM269894.fasta	0.9992208949	0.9992208949
BA000004.fasta	0.9981082014	0.9981082014
BN001302.fasta	0.999950139	0.999950139
BX284601.fasta	0.9988024508	0.9988024508
CAID01000012.fasta	0.9998082822	0.9998082822
CM000001.fasta	0.9979164901	0.9979067288
CM000038.fasta	0.9996529281	0.9996445678
CM000043.fasta	1	1
CM000071.fasta	0.9997624775	0.9997523727
CM000091.fasta	0.9962987541	0.9962892724
CM000110.fasta	0.9887432152	0.9887432152
CM000134.fasta	0.9992654103	0.999258507
CM000152.fasta	0.9970819569	0.9970349048
CM000157.fasta	0.9992474602	0.9992452222
CM000158.fasta	0.9993211615	0.9993140705
CM000169.fasta	0.9999796707	0.9999796707
CM000177.fasta	0.9944584842	0.9944498596
CM000201.fasta	0.9974717228	0.9974626717
CM000208.fasta	0.9987913172	0.9987789988
CM000209.fasta	0.9955952734	0.9955842958
CM000302.fasta	0.9987920965	0.9987844889
CM000377.fasta	0.9994336424	0.9994258443
CM000452.fasta	1	1
CM000515.fasta	0.9993217934	0.9993154712
CM000530.fasta	0.9992571784	0.9992542329
CM000572.fasta	0.9996518764	0.9996443579
CM000575.fasta	1	1
CM000580.fasta	1	1
CM000592.fasta	0.9999616325	0.9999616325
CM000612.fasta	0.9990027922	0.9990027922
CM000638.fasta	0.9999014001	0.9999014001
CM000692.fasta	1	1
CM000767.fasta	0.9904958357	0.9904895849
CM000769.fasta	0.9899887835	0.9899879718
CM000777.fasta	0.9678953623	0.967888778
CM000799.fasta	0.9982321757	0.9982238566
CM000829.fasta	0.9981729573	0.9981582831
CM000831.fasta	0.999322871	0.9992830685
CM000850.fasta	0.9966389502	0.9966341938
CM000875.fasta	0.9996880432	0.9996768253
CM000906.fasta	0.9999964213	0.9999919479
CM000907.fasta	0.9999827769	0.9999797816
CM000917.fasta	0.9998502042	0.999837261
CM001221.fasta	0.9970279181	0.9970220712
CM001222.fasta	0.9942874324	0.9942810265
CM001276.fasta	0.9985783063	0.9985660549
CM001294.fasta	0.9988112632	0.9988028588
CP000048.fasta	1	1
CP000496.fasta	0.9998540679	0.9998540679
CP000828.fasta	0.9974860271	0.9974783585
CP001037.fasta	0.9972493108	0.9972493108
CP001141.fasta	1	1
CP001681.fasta	0.9985389171	0.9985389171
CP001699.fasta	0.9998794824	0.9998740051
CP001982.fasta	0.9997547769	0.9997449705
CP002287.fasta	1	0.9999928705
CP002987.fasta	0.9998392998	0.9998392998
CP003170.fasta	0.9999296518	0.9999188299
CP003348.fasta	0.9997454735	0.9997454735
CP003872.fasta	0.9987588874	0.9987588874
CR380954.fasta	1	1
CU234118.fasta	0.9998927118	0.999886007
CU329672.fasta	0.9984915814	0.9984915814
CU928173.fasta	0.9999102857	0.9999102857
DG000010.fasta	0.9993884775	0.9993811802
FA000001.fasta	0.9811076669	0.9811076669
FM178379.fasta	0.9712940964	0.9712794912
FN543502.fasta	0.9960255487	0.9960255487
FN554974.fasta	0.9990290405	0.9990290405
FO082874.fasta	0.9999299445	0.9999299445
FP929060.fasta	1	0.9999839169
FR798980.fasta	0.9912272151	0.9912272151
GCA_000002035.2.fasta	0.9951721481	0.9951614293
GCA_000151905.1.fasta	0.9958880846	0.9958731142
HE601630.fasta	0.998999338	0.998999338
HE616744.fasta	0.9998839054	0.9998839054
HE616749.fasta	1	1
HE806319.fasta	1	1
HE978314.fasta	1	1
NC_003070.9.fasta	0.9991225043	0.9991175789
NC_007605.fasta	0.9982537835	0.9982537835
NC_008394.4.fasta	0.9976045473	0.9976001198
NC_008397.2.fasta	0.9961499665	0.996140018
NC_008398.2.fasta	0.9963330169	0.9963237125
NC_008399.2.fasta	0.9959466559	0.9959417349
NC_008400.2.fasta	0.9968173908	0.9968173908
NC_008401.2.fasta	0.9968408529	0.99683664
NC_008403.2.fasta	0.9981473881	0.998143179
NC_008467.1.fasta	0.9991704531	0.9991634879
NT_024477.14.fasta	0.9995168615	0.9995168615
NT_024498.12.fasta	0.999324233	0.999324233
NT_029928.13.fasta	0.9996935022	0.9996935022
NT_077528.2.fasta	0.9920955717	0.9920955717
NT_078094.2.fasta	0.9935532148	0.9935532148
NT_167185.1.fasta	0.9937083476	0.9937083476
NT_167196.1.fasta	0.9986074271	0.9986074271
