ID	Prec-100	Rec-100
AE017198.fasta	0.999642017	0.9809303959
AJ270060.fasta	0.99905147	0.9807695624
AM055943.fasta	0.9996964254	0.9814961999
AM263198.fasta	0.9997104649	0.9815574863
AM269894.fasta	0.9991309605	0.9810417749
BA000004.fasta	0.9979253615	0.9786548003
BN001302.fasta	0.9999745948	0.9812896551
BX284601.fasta	0.9988305951	0.9803681551
CAID01000012.fasta	0.99980484	0.9821702454
CM000001.fasta	0.9980746858	0.9797132838
CM000038.fasta	0.9996932568	0.9812101838
CM000043.fasta	1	0.9804629552
CM000071.fasta	0.9997527825	0.9809731249
CM000091.fasta	0.9963646138	0.9781258273
CM000110.fasta	0.988673286	0.9708999189
CM000134.fasta	0.9991436548	0.9806705215
CM000152.fasta	0.9974849215	0.9794488226
CM000157.fasta	0.9993154217	0.980821476
CM000158.fasta	0.9993468605	0.9807561308
CM000169.fasta	0.9999689235	0.9812258589
CM000177.fasta	0.9951655425	0.9768432868
CM000201.fasta	0.9976204839	0.9791376486
CM000208.fasta	0.9988316289	0.9805626472
CM000209.fasta	0.9958638821	0.9775034895
CM000302.fasta	0.9989905078	0.9805086612
CM000377.fasta	0.9994745064	0.9809834474
CM000452.fasta	1	0.9818366508
CM000515.fasta	0.9993181177	0.9809445401
CM000530.fasta	0.9992908057	0.9802150639
CM000572.fasta	0.999706566	0.981029557
CM000575.fasta	1	0.9813732529
CM000580.fasta	1	0.9809843762
CM000592.fasta	0.9999608966	0.9811423913
CM000612.fasta	0.9989823437	0.9789090546
CM000638.fasta	0.9999330421	0.9816439887
CM000692.fasta	1	0.9826752328
CM000767.fasta	0.9907715394	0.9726470761
CM000769.fasta	0.9903040925	0.9720104326
CM000777.fasta	0.9687605641	0.9509442628
CM000799.fasta	0.9983440545	0.9797436311
CM000829.fasta	0.9982996366	0.9801135412
CM000831.fasta	0.9991074689	0.9808818258
CM000850.fasta	0.9967163668	0.9785619262
CM000875.fasta	0.9997804452	0.98108755
CM000906.fasta	0.999995443	0.9816350176
CM000907.fasta	0.99998398	0.9815975361
CM000917.fasta	0.9998888366	0.9814107626
CM001221.fasta	0.9970577374	0.9785399118
CM001222.fasta	0.9943761707	0.9758849591
CM001276.fasta	0.9986933927	0.9802017855
CM001294.fasta	0.9989041668	0.9803829475
CP000048.fasta	1	0.9822183671
CP000496.fasta	0.9999070373	0.9810288216
CP000828.fasta	0.9975159076	0.9786352384
CP001037.fasta	0.9971480537	0.978729218
CP001141.fasta	1	0.9785725623
CP001681.fasta	0.9984523633	0.9800673453
CP001699.fasta	0.9998604685	0.9813691816
CP001982.fasta	0.9996900589	0.9807648923
CP002287.fasta	1	0.9810568793
CP002987.fasta	0.9998739999	0.9809508505
CP003170.fasta	0.9999007039	0.9808492562
CP003348.fasta	0.9997524577	0.9812344536
CP003872.fasta	0.9987264766	0.9808541548
CR380954.fasta	1	0.9811967439
CU234118.fasta	0.9998906439	0.9809765845
CU329672.fasta	0.998524522	0.9794325085
CU928173.fasta	1	0.9807562912
DG000010.fasta	0.9994272005	0.9809881767
FA000001.fasta	0.9814541527	0.9629268438
FM178379.fasta	0.9715686275	0.9537013368
FN543502.fasta	0.9961792057	0.9777243695
FN554974.fasta	0.9990106468	0.9804373731
FO082874.fasta	0.9999000771	0.9814352968
FP929060.fasta	1	0.9815848304
FR798980.fasta	0.9909335459	0.9694902037
GCA_000002035.2.fasta	0.9955649368	0.9773423985
GCA_000151905.1.fasta	0.9960140067	0.9775985241
HE601630.fasta	0.9989441828	0.9807462373
HE616744.fasta	0.9999605834	0.981734453
HE616749.fasta	1	0.9817734876
HE806319.fasta	1	0.9811613705
HE978314.fasta	1	0.9819104431
NC_003070.9.fasta	0.9991644704	0.9805670172
NC_007605.fasta	0.998810232	0.9772991851
NC_008394.4.fasta	0.9975802933	0.9793430564
NC_008397.2.fasta	0.9962227284	0.9776490562
NC_008398.2.fasta	0.9964410667	0.9778769051
NC_008399.2.fasta	0.9958907603	0.9775494272
NC_008400.2.fasta	0.9968328442	0.9785296556
NC_008401.2.fasta	0.9969751771	0.9785601535
NC_008403.2.fasta	0.9981450499	0.9794864154
NC_008467.1.fasta	0.9992129787	0.9806235919
NT_024477.14.fasta	0.9996061054	0.9808677167
NT_024498.12.fasta	0.9993108201	0.9798621435
NT_029928.13.fasta	0.9997268364	0.9815079689
NT_077528.2.fasta	0.9929583905	0.9752986616
NT_078094.2.fasta	0.9937877278	0.9760547977
NT_167185.1.fasta	0.9932379042	0.9745053897
NT_167196.1.fasta	0.9991883666	0.9796419098
