ID	Prec-100	Rec-100
AE017198.fasta	0.999648718	0.999648718
AJ270060.fasta	0.999065372	0.999058481
AM055943.fasta	0.99965226	0.999602603
AM263198.fasta	0.999822326	0.999822326
AM269894.fasta	0.997809541	0.997106181
BA000004.fasta	0.998108201	0.998108201
BN001302.fasta	0.999987535	0.999987535
BX284601.fasta	0.998543662	0.998517162
CAID01000012.fasta	0.999808264	0.999712423
CM000001.fasta	0.997917143	0.997829698
CM000038.fasta	0.999581838	0.999567209
CM000043.fasta	0.99997201	0.99997201
CM000071.fasta	0.999739731	0.999709417
CM000091.fasta	0.996050327	0.996010687
CM000110.fasta	0.98867161	0.988645175
CM000134.fasta	0.999242381	0.999233177
CM000152.fasta	0.996820625	0.996216947
CM000157.fasta	0.999283284	0.999265379
CM000158.fasta	0.999332986	0.999323532
CM000169.fasta	0.999979671	0.999979671
CM000177.fasta	0.994654935	0.994430037
CM000201.fasta	0.997606692	0.997594245
CM000208.fasta	0.998717316	0.998704999
CM000209.fasta	0.995642512	0.995545955
CM000302.fasta	0.998832692	0.998801627
CM000377.fasta	0.999446019	0.999437952
CM000452.fasta	0.9996129	0.999274433
CM000515.fasta	0.999296905	0.999285104
CM000530.fasta	0.999097962	0.999050842
CM000572.fasta	0.999545492	0.999507903
CM000575.fasta	0.999994391	0.999994391
CM000580.fasta	0.999989232	0.999978465
CM000592.fasta	0.99995204	0.999942449
CM000612.fasta	0.998952932	0.998952932
CM000638.fasta	0.9999014	0.9999014
CM000692.fasta	1	1
CM000767.fasta	0.990710288	0.990691531
CM000769.fasta	0.990304373	0.990295441
CM000777.fasta	0.968703485	0.96868452
CM000799.fasta	0.998305071	0.998281152
CM000829.fasta	0.998238306	0.998229338
CM000831.fasta	0.998964391	0.998924603
CM000850.fasta	0.996698528	0.996669988
CM000875.fasta	0.999646521	0.999628574
CM000906.fasta	0.999996421	0.999995527
CM000907.fasta	0.999979782	0.999977535
CM000917.fasta	0.999864994	0.999816919
CM001221.fasta	0.996975071	0.996947007
CM001222.fasta	0.994444218	0.994439946
CM001276.fasta	0.998665112	0.998538073
CM001294.fasta	0.998769109	0.998694236
CP000048.fasta	1	1
CP000496.fasta	0.999890549	0.999872309
CP000828.fasta	0.997470632	0.997455295
CP001037.fasta	0.997243222	0.997237166
CP001141.fasta	1	1
CP001681.fasta	0.998538917	0.998538917
CP001699.fasta	0.999890438	0.999879483
CP001982.fasta	0.999744971	0.999744971
CP002287.fasta	0.99999287	0.99999287
CP002987.fasta	0.9998393	0.9998393
CP003170.fasta	0.999870121	0.999821426
CP003348.fasta	0.999710765	0.999710765
CP003872.fasta	0.998768508	0.998768508
CR380954.fasta	0.999952397	0.999952397
CU234118.fasta	0.999886007	0.999886007
CU329672.fasta	0.998389661	0.998389661
CU928173.fasta	0.999910286	0.999910286
DG000010.fasta	0.999174895	0.999160304
FA000001.fasta	0.980701763	0.980555376
FM178379.fasta	0.972091485	0.972091485
FN543502.fasta	0.996006845	0.996006845
FN554974.fasta	0.998929738	0.998929738
FO082874.fasta	0.999859889	0.999859889
FP929060.fasta	1	1
FR798980.fasta	0.991714592	0.991714592
GCA_000002035.2.fasta	0.994869191	0.993628663
GCA_000151905.1.fasta	0.99845928	0.995759174
HE601630.fasta	0.999030113	0.999014733
HE616744.fasta	0.999922604	0.999922604
HE616749.fasta	1	1
HE806319.fasta	0.999930992	0.999896491
HE978314.fasta	1	0.999961264
NC_003070.9.fasta	0.999140579	0.999134011
NC_007605.fasta	0.996798603	0.996798603
NC_008394.4.fasta	0.997606764	0.997601229
NC_008397.2.fasta	0.996166586	0.996150005
NC_008398.2.fasta	0.996356341	0.996340833
NC_008399.2.fasta	0.995940041	0.995928559
NC_008400.2.fasta	0.996843657	0.996836669
NC_008401.2.fasta	0.996978188	0.996967654
NC_008403.2.fasta	0.998162829	0.998147396
NC_008467.1.fasta	0.999196938	0.999184401
NT_024477.14.fasta	0.998695085	0.998357329
NT_024498.12.fasta	0.998378159	0.998378159
NT_029928.13.fasta	0.999540212	0.999450858
NT_077528.2.fasta	0.991826103	0.991826103
NT_078094.2.fasta	0.993380152	0.993322972
NT_167185.1.fasta	0.993544347	0.993544347
NT_167196.1.fasta	0.997015519	0.996883289
