ID	Prec-100	Rec-100
AE017198.fasta	0.999623579	0.9994981683
AJ270060.fasta	0.9990687632	0.9989998517
AM055943.fasta	0.9997267895	0.9997267895
AM263198.fasta	0.9998400796	0.999751257
AM269894.fasta	0.9990352863	0.9989240929
BA000004.fasta	0.9982032152	0.9981082014
BN001302.fasta	0.999975067	0.9998753475
BX284601.fasta	0.9988255746	0.9987427392
CAID01000012.fasta	0.9998082638	0.9997124233
CM000001.fasta	0.9978645996	0.9977946475
CM000038.fasta	0.9995859837	0.999483578
CM000043.fasta	0.9999720084	0.9999160299
CM000071.fasta	0.9997624607	0.999681622
CM000091.fasta	0.9961556299	0.9960504846
CM000110.fasta	0.9888006988	0.9887610407
CM000134.fasta	0.9991225929	0.9990650741
CM000152.fasta	0.9957360438	0.9954697749
CM000157.fasta	0.9993347579	0.9992564207
CM000158.fasta	0.9993613383	0.9993022442
CM000169.fasta	0.9999695029	0.9998678593
CM000177.fasta	0.994842985	0.9947970725
CM000201.fasta	0.9975135721	0.9974570004
CM000208.fasta	0.9988158674	0.9987049987
CM000209.fasta	0.9954763447	0.9953780576
CM000302.fasta	0.9987018939	0.9986404049
CM000377.fasta	0.9994322664	0.9993704197
CM000452.fasta	0.9999516219	0.9998065156
CM000515.fasta	0.9992917981	0.9992155123
CM000530.fasta	0.9992806964	0.9991893836
CM000572.fasta	0.9995411893	0.9994939353
CM000575.fasta	1	0.9999326947
CM000580.fasta	1	0.9999246266
CM000592.fasta	0.9999328537	0.9998848976
CM000612.fasta	0.9992021542	0.999102513
CM000638.fasta	0.999950696	0.9998685335
CM000692.fasta	1	0.9999639067
CM000767.fasta	0.9906226249	0.9905815426
CM000769.fasta	0.9901171543	0.9900806226
CM000777.fasta	0.9684122851	0.9683981455
CM000799.fasta	0.9982039571	0.9981446854
CM000829.fasta	0.9981744998	0.9981100963
CM000831.fasta	0.9990838478	0.9990042618
CM000850.fasta	0.9965146692	0.9964540319
CM000875.fasta	0.9996375254	0.9995679783
CM000906.fasta	0.9999955263	0.9999141113
CM000907.fasta	0.9999797803	0.9999131359
CM000917.fasta	0.9994895411	0.9993915779
CM001221.fasta	0.9969315187	0.9968531772
CM001222.fasta	0.9944633676	0.9944270611
CM001276.fasta	0.9984486449	0.9983824531
CM001294.fasta	0.9986750255	0.9986093273
CP000048.fasta	1	0.9999457877
CP000496.fasta	0.9999270286	0.9998540679
CP000828.fasta	0.9975396728	0.9974629826
CP001037.fasta	0.9972795395	0.9972310943
CP001141.fasta	1	0.9998412782
CP001681.fasta	0.9984516529	0.9983357201
CP001699.fasta	0.9999123456	0.9998466148
CP001982.fasta	0.9996762833	0.9995978381
CP002287.fasta	1	0.9999287049
CP002987.fasta	0.9998640129	0.9997898536
CP003170.fasta	0.999902589	0.9998322484
CP003348.fasta	0.9998380061	0.9996991959
CP003872.fasta	0.9988261894	0.9987877505
CR380954.fasta	1	1
CU234118.fasta	0.9998994092	0.9998122469
CU329672.fasta	0.9987157272	0.9986546537
CU928173.fasta	0.9998654286	0.9998654286
DG000010.fasta	0.9994048543	0.9993099886
FA000001.fasta	0.9801265848	0.9800826944
FM178379.fasta	0.9704807591	0.970422387
FN543502.fasta	0.99619338	0.9960629553
FN554974.fasta	0.9989847492	0.9988304352
FO082874.fasta	0.9999439525	0.9998879112
FP929060.fasta	1	0.9999195844
FR798980.fasta	0.9910322644	0.9910322644
GCA_000002035.2.fasta	0.9945186296	0.9943925605
GCA_000151905.1.fasta	0.9960755262	0.9956386989
HE601630.fasta	0.9989120282	0.99884539
HE616744.fasta	0.9999225946	0.999806509
HE616749.fasta	1	1
HE806319.fasta	1	0.999965497
HE978314.fasta	1	1
NC_003070.9.fasta	0.9991224365	0.9990403465
NC_007605.fasta	0.9982532751	0.9979627474
NC_008394.4.fasta	0.9975644748	0.9975069206
NC_008397.2.fasta	0.9961015527	0.9960551283
NC_008398.2.fasta	0.9963203649	0.996256786
NC_008399.2.fasta	0.9958277811	0.9957539743
NC_008400.2.fasta	0.9968417326	0.9967805875
NC_008401.2.fasta	0.9968830433	0.9968556582
NC_008403.2.fasta	0.9980474735	0.9979843442
NC_008467.1.fasta	0.9991941039	0.9991244507
NT_024477.14.fasta	0.9994201778	0.9993236061
NT_024498.12.fasta	0.9990536704	0.9987836194
NT_029928.13.fasta	0.9995529613	0.999412546
NT_077528.2.fasta	0.9905685799	0.9905685799
NT_078094.2.fasta	0.9943011743	0.9942439417
NT_167185.1.fasta	0.9931264817	0.9930672551
NT_167196.1.fasta	0.9988062869	0.9987400531
