ID	Prec-100	Rec-100
AE017198.fasta	0.9846711631	0.9267827571
AJ270060.fasta	0.985194268	0.9282755719
AM055943.fasta	0.9865752341	0.9290646267
AM263198.fasta	0.98542939	0.9288595135
AM269894.fasta	0.9829389103	0.9276545225
BA000004.fasta	0.9838346815	0.9261603627
BN001302.fasta	0.9859858801	0.9296336462
BX284601.fasta	0.9843521384	0.9284190692
CAID01000012.fasta	0.9848316311	0.9335697853
CM000001.fasta	0.9844229986	0.9281086056
CM000038.fasta	0.9859746207	0.9290620145
CM000043.fasta	0.9866547778	0.92915722
CM000071.fasta	0.9852161389	0.9281653342
CM000091.fasta	0.9828688228	0.9264871029
CM000110.fasta	0.9752911239	0.9188941078
CM000134.fasta	0.9845419619	0.9282524945
CM000152.fasta	0.9818815796	0.9257546443
CM000157.fasta	0.9847054269	0.9284887198
CM000158.fasta	0.9845065687	0.9280885748
CM000169.fasta	0.9859672569	0.9298739581
CM000177.fasta	0.9814183683	0.925109499
CM000201.fasta	0.9839253911	0.9274144885
CM000208.fasta	0.9846707213	0.9284912618
CM000209.fasta	0.9821409628	0.9256930784
CM000302.fasta	0.9851116508	0.9283667276
CM000377.fasta	0.9855966925	0.929008099
CM000452.fasta	0.9867955489	0.9308293226
CM000515.fasta	0.9854291243	0.9289465005
CM000530.fasta	0.9852605687	0.9280555818
CM000572.fasta	0.9856274563	0.9288414986
CM000575.fasta	0.9862839257	0.9296322886
CM000580.fasta	0.9855890011	0.9293536195
CM000592.fasta	0.9858316284	0.9290201909
CM000612.fasta	0.9859042976	0.9276525728
CM000638.fasta	0.9852797714	0.9294517847
CM000692.fasta	0.9852209204	0.9287518949
CM000767.fasta	0.9768748703	0.9209100211
CM000769.fasta	0.9763933713	0.9202874963
CM000777.fasta	0.955605504	0.9008686292
CM000799.fasta	0.9844858048	0.9275843929
CM000829.fasta	0.9845707648	0.9282547139
CM000831.fasta	0.9837043935	0.9256780977
CM000850.fasta	0.9822970109	0.9263221319
CM000875.fasta	0.9855836531	0.9291013164
CM000906.fasta	0.9863251724	0.9298807846
CM000907.fasta	0.9861218784	0.9296617766
CM000917.fasta	0.9859370157	0.9294785138
CM001221.fasta	0.9823836286	0.9260807454
CM001222.fasta	0.9798560299	0.9234563818
CM001276.fasta	0.9848175651	0.9282101903
CM001294.fasta	0.9851684514	0.9287176973
CP000048.fasta	0.9836657497	0.9304456251
CP000496.fasta	0.9851638361	0.9290587377
CP000828.fasta	0.9832921146	0.926165106
CP001037.fasta	0.982697224	0.9266482883
CP001141.fasta	0.9864136537	0.9295804455
CP001681.fasta	0.9844666578	0.9272264582
CP001699.fasta	0.9857600177	0.9294592625
CP001982.fasta	0.9861466725	0.9293568353
CP002287.fasta	0.9854132288	0.9281131026
CP002987.fasta	0.9849446572	0.9284018987
CP003170.fasta	0.9854902637	0.9283916947
CP003348.fasta	0.9863232333	0.929461445
CP003872.fasta	0.9833265306	0.9271399571
CR380954.fasta	0.9860915138	0.9314990241
CU234118.fasta	0.9858213101	0.9282447764
CU329672.fasta	0.9846722587	0.9284316523
CU928173.fasta	0.9856768975	0.9291705917
DG000010.fasta	0.9852523601	0.928543656
FA000001.fasta	0.9673503226	0.9114841701
FM178379.fasta	0.9572119915	0.9011924274
FN543502.fasta	0.9815040953	0.9245228321
FN554974.fasta	0.9849398649	0.9279834937
FO082874.fasta	0.9834779632	0.9257551981
FP929060.fasta	0.9866075237	0.930086688
FR798980.fasta	0.9768768146	0.9183156253
GCA_000002035.2.fasta	0.9808425685	0.9248314785
GCA_000151905.1.fasta	0.9819937751	0.9256631165
HE601630.fasta	0.9843880938	0.9283115497
HE616744.fasta	0.985539991	0.9284083433
HE616749.fasta	0.9862047044	0.9300917321
HE806319.fasta	0.9838136741	0.9269226788
HE978314.fasta	0.9855006983	0.9293848776
NC_003070.9.fasta	0.9852334764	0.9285271784
NC_007605.fasta	0.9814700432	0.9249126892
NC_008394.4.fasta	0.9832882911	0.9272646581
NC_008397.2.fasta	0.9821384403	0.9253137588
NC_008398.2.fasta	0.9824554159	0.9257754134
NC_008399.2.fasta	0.9817340111	0.9255841991
NC_008400.2.fasta	0.9828336153	0.9266282393
NC_008401.2.fasta	0.9828509846	0.9269659004
NC_008403.2.fasta	0.9838380916	0.9274434204
NC_008467.1.fasta	0.9849173248	0.9284475451
NT_024477.14.fasta	0.9852895951	0.928737076
NT_024498.12.fasta	0.9844760673	0.9256656305
NT_029928.13.fasta	0.9861169484	0.9288797507
NT_077528.2.fasta	0.9769282105	0.9204167789
NT_078094.2.fasta	0.9794499665	0.9245380763
NT_167185.1.fasta	0.9800227589	0.9244852623
NT_167196.1.fasta	0.9856911257	0.9273209549
