ID	Prec-100	Rec-100
AE017198.fasta	0.999500749	0.653033573
AJ270060.fasta	0.999123816	0.566308108
AM055943.fasta	0.999696395	0.654264567
AM263198.fasta	0.999728239	0.653607661
AM269894.fasta	0.99909732	0.657008236
BA000004.fasta	0.998033253	0.652075624
BN001302.fasta	1	0.653428568
BX284601.fasta	0.998900063	0.653732472
CAID01000012.fasta	0.999853865	0.655866564
CM000001.fasta	0.998175889	0.654359596
CM000038.fasta	0.999690751	0.655596697
CM000043.fasta	0.999957129	0.652867579
CM000071.fasta	0.999757417	0.656065859
CM000091.fasta	0.996465172	0.653385682
CM000110.fasta	0.9887336	0.648815943
CM000134.fasta	0.999265693	0.654938643
CM000152.fasta	0.997633908	0.649969327
CM000157.fasta	0.999305073	0.653798862
CM000158.fasta	0.999400778	0.654849758
CM000169.fasta	1	0.658030087
CM000177.fasta	0.99544875	0.652386028
CM000201.fasta	0.997734182	0.653293423
CM000208.fasta	0.999035279	0.651373318
CM000209.fasta	0.99603974	0.65270127
CM000302.fasta	0.999018549	0.655138248
CM000377.fasta	0.999502439	0.655051897
CM000452.fasta	1	0.654122427
CM000515.fasta	0.999355285	0.655078461
CM000530.fasta	0.999400939	0.654037754
CM000572.fasta	0.999712947	0.654841299
CM000575.fasta	1	0.655452853
CM000580.fasta	1	0.65677122
CM000592.fasta	0.999926755	0.654731188
CM000612.fasta	0.999159985	0.652373355
CM000638.fasta	0.999974916	0.655114047
CM000692.fasta	1	0.656175558
CM000767.fasta	0.991155005	0.649898801
CM000769.fasta	0.990570935	0.649297781
CM000777.fasta	0.969831502	0.63602708
CM000799.fasta	0.99845501	0.653695785
CM000829.fasta	0.998311866	0.653964673
CM000831.fasta	0.998839411	0.651292468
CM000850.fasta	0.996916318	0.65302845
CM000875.fasta	0.999770759	0.655779721
CM000906.fasta	0.999998635	0.655389295
CM000907.fasta	0.999985145	0.655305938
CM000917.fasta	0.999867398	0.655388974
CM001221.fasta	0.997156025	0.653450715
CM001222.fasta	0.994578895	0.650103191
CM001276.fasta	0.99872101	0.654486599
CM001294.fasta	0.998981185	0.654798012
CP000048.fasta	1	0.652987097
CP000496.fasta	0.999888071	0.651824152
CP000828.fasta	0.997820891	0.654781125
CP001037.fasta	0.997249949	0.653977873
CP001141.fasta	1	0.651605735
CP001681.fasta	0.998258457	0.654468398
CP001699.fasta	0.999924694	0.654647844
CP001982.fasta	0.999775473	0.655151105
CP002287.fasta	1	0.657769032
CP002987.fasta	0.999867625	0.653592267
CP003170.fasta	0.999917596	0.656628625
CP003348.fasta	0.999717404	0.654850466
CP003872.fasta	0.998767262	0.654778283
CR380954.fasta	1	0.661065359
CU234118.fasta	0.999928482	0.656270955
CU329672.fasta	0.998375305	0.651351462
CU928173.fasta	0.999930996	0.650024671
DG000010.fasta	0.999471056	0.655357537
FA000001.fasta	0.982448255	0.641677572
FM178379.fasta	0.97142134	0.634813467
FN543502.fasta	0.99624586	0.652679715
FN554974.fasta	0.99910636	0.653797776
FO082874.fasta	0.999957115	0.653393488
FP929060.fasta	1	0.65538704
FR798980.fasta	0.991088668	0.650453261
GCA_000002035.2.fasta	0.995443552	0.652709931
GCA_000151905.1.fasta	0.995489652	0.65254772
HE601630.fasta	0.998967758	0.655536227
HE616744.fasta	0.999882429	0.658217561
HE616749.fasta	1	0.653816176
HE806319.fasta	1	0.651174827
HE978314.fasta	1	0.65254106
NC_003070.9.fasta	0.999111649	0.654235539
NC_007605.fasta	0.998674326	0.65774156
NC_008394.4.fasta	0.997682342	0.654329604
NC_008397.2.fasta	0.996360698	0.652568328
NC_008398.2.fasta	0.996506098	0.652553479
NC_008399.2.fasta	0.996068023	0.652133883
NC_008400.2.fasta	0.996912218	0.652955393
NC_008401.2.fasta	0.997065692	0.654128745
NC_008403.2.fasta	0.998269881	0.653693752
NC_008467.1.fasta	0.999213092	0.655023813
NT_024477.14.fasta	0.999777992	0.65272007
NT_024498.12.fasta	0.998762631	0.654547912
NT_029928.13.fasta	0.999669544	0.65676083
NT_077528.2.fasta	0.992896175	0.652833917
NT_078094.2.fasta	0.993763724	0.651240431
NT_167185.1.fasta	0.99373133	0.654674757
NT_167196.1.fasta	0.998276911	0.653116711
